Country Name,Country Code,2018,2019,2020,2021
Aruba,ABW,105962,106442,106585,106537
Africa Eastern and Southern,AFE,649756874,667242712,685112705,702976832
Afghanistan,AFG,36686784,37769499,38972230,40099462
Africa Western and Central,AFW,442646825,454306063,466189102,478185907
Angola,AGO,31273533,32353588,33428486,34503774
Albania,ALB,2866376,2854191,2837849,2811666
Andorra,AND,75013,76343,77700,79034
Arab World,ARB,432545676,441467739,449228296,456520777
United Arab Emirates,ARE,9140169,9211657,9287289,9365145
Argentina,ARG,44494502,44938712,45376763,45808747
Armenia,ARM,2836557,2820602,2805608,2790974
American Samoa,ASM,48424,47321,46189,45035
Antigua and Barbuda,ATG,91626,92117,92664,93219
Australia,AUS,24966643,25340217,25655289,25688079
Austria,AUT,8840521,8879920,8916864,8955797
Azerbaijan,AZE,9939771,10024283,10093121,10137750
Burundi,BDI,11493472,11874838,12220227,12551213
Belgium,BEL,11427054,11488980,11538604,11592952
Benin,BEN,11940683,12290444,12643123,12996895
Burkina Faso,BFA,20392723,20951639,21522626,22100683
Bangladesh,BGD,163683958,165516222,167420951,169356251
Bulgaria,BGR,7025037,6975761,6934015,6877743
Bahrain,BHR,1487340,1494188,1477469,1463265
"Bahamas, The",BHS,401906,404557,406471,407906
Bosnia and Herzegovina,BIH,3400129,3360711,3318407,3270943
Belarus,BLR,9438785,9419758,9379952,9340314
Belize,BLZ,382066,389095,394921,400031
Bermuda,BMU,63918,63911,63893,63867
Bolivia,BOL,11606905,11777315,11936162,12079472
Brazil,BRA,210166592,211782878,213196304,214326223
Barbados,BRB,279688,280180,280693,281200
Brunei Darussalam,BRN,434274,438048,441725,445373
Bhutan,BTN,762096,767459,772506,777486
Botswana,BWA,2451409,2499702,2546402,2588423
Central African Republic,CAF,5094780,5209324,5343020,5457154
Canada,CAN,37065084,37601230,38037204,38246108
Central Europe and the Baltics,CEB,102538451,102398537,102180124,101430997
Switzerland,CHE,8514329,8575280,8638167,8703405
Channel Islands,CHI,167259,169410,171113,172683
Chile,CHL,18701450,19039485,19300315,19493184
China,CHN,1402760000,1407745000,1411100000,1412360000
Cote d'Ivoire,CIV,25493988,26147551,26811790,27478249
Cameroon,CMR,25076747,25782341,26491087,27198628
"Congo, Dem. Rep.",COD,87087355,89906890,92853164,95894118
"Congo, Rep.",COG,5441062,5570733,5702174,5835806
Colombia,COL,49276961,50187406,50930662,51516562
Comoros,COM,776313,790986,806166,821625
Cabo Verde,CPV,571202,577030,582640,587925
Costa Rica,CRI,5040734,5084532,5123105,5153957
Caribbean small states,CSS,7374650,7424102,7444768,7481877
Cuba,CUB,11328244,11316697,11300698,11256372
Curacao,CUW,159336,157441,154947,152369
Cayman Islands,CYM,64884,66134,67311,68136
Cyprus,CYP,1218831,1228836,1237537,1244188
Czechia,CZE,10629928,10671870,10697858,10505772
Germany,DEU,82905782,83092962,83160871,83196078
Djibouti,DJI,1057198,1073994,1090156,1105557
Dominica,DMA,70823,71428,71995,72412
Denmark,DNK,5793636,5814422,5831404,5856733
Dominican Republic,DOM,10765531,10881882,10999664,11117873
Algeria,DZA,41927007,42705368,43451666,44177969
East Asia & Pacific (excluding high income),EAP,2094573278,2106439246,2116424876,2123673456
Early-demographic dividend,EAR,3294298709,3335463995,3375134276,3411889059
East Asia & Pacific,EAS,2341387076,2353862247,2363940425,2370204347
Europe & Central Asia (excluding high income),ECA,398076771,399592320,400811771,401575218
Europe & Central Asia,ECS,918782553,921179725,923103879,923777214
Ecuador,ECU,17015672,17343740,17588595,17797737
"Egypt, Arab Rep.",EGY,103740765,105618671,107465134,109262178
Euro area,EMU,342065158,342452734,342913447,343067846
Eritrea,ERI,3445374,3498818,3555868,3620312
Spain,ESP,46797754,47134837,47365655,47415750
Estonia,EST,1321977,1326898,1329522,1330932
Ethiopia,ETH,111129438,114120594,117190911,120283026
European Union,EUU,447001100,447367191,447692315,447199800
Fragile and conflict affected situations,FCS,936387926,957446713,979418527,1001462452
Finland,FIN,5515525,5521606,5529543,5541017
Fiji,FJI,918996,918465,920422,924610
France,FRA,67158348,67388001,67571107,67749632
Faroe Islands,FRO,50955,51681,52415,52889
"Micronesia, Fed. Sts.",FSM,110929,111379,112106,113131
Gabon,GAB,2192012,2242785,2292573,2341179
United Kingdom,GBR,66460344,66836327,67081000,67326569
Georgia,GEO,3726549,3720161,3722716,3708610
Ghana,GHA,30870641,31522290,32180401,32833031
Gibraltar,GIB,32648,32685,32709,32669
Guinea,GIN,12554864,12877539,13205153,13531906
"Gambia, The",GMB,2444916,2508883,2573995,2639916
Guinea-Bissau,GNB,1924955,1970457,2015828,2060721
Equatorial Guinea,GNQ,1502091,1553031,1596049,1634466
Greece,GRC,10732882,10721582,10698599,10641221
Grenada,GRD,121838,122724,123663,124610
Greenland,GRL,56023,56225,56367,56653
Guatemala,GTM,16346950,16604026,16858333,17109746
Guam,GUM,168678,168624,169231,170534
Guyana,GUY,785514,798753,797202,804567
High income,HIC,1230678232,1235869243,1240900955,1240629858
"Hong Kong SAR, China",HKG,7452600,7507900,7481000,7413100
Honduras,HND,9792850,9958829,10121763,10278345
Heavily indebted poor countries (HIPC),HPC,792615894,815100831,838066650,861156745
Croatia,HRV,4087843,4065253,4047680,3899000
Haiti,HTI,11012421,11160438,11306801,11447569
Hungary,HUN,9775564,9771141,9750149,9709891
IBRD only,IBD,4817627754,4855633857,4889761166,4917520297
IDA & IBRD total,IBT,6479097294,6554880269,6628067973,6695397735
IDA total,IDA,1661469540,1699246412,1738306807,1777877438
IDA blend,IDB,559155599,570633332,582637127,595016031
Indonesia,IDN,267066843,269582878,271857970,273753191
IDA only,IDX,1102313941,1128613080,1155669680,1182861407
Isle of Man,IMN,83775,83933,84046,84263
India,IND,1369003306,1383112050,1396387127,1407563842
Not classified,INX,,,,
Ireland,IRL,4867316,4934340,4985382,5033165
"Iran, Islamic Rep.",IRN,85617562,86564202,87290193,87923432
Iraq,IRQ,40590700,41563520,42556984,43533592
Iceland,ISL,352721,360563,366463,372520
Israel,ISR,8882800,9054000,9215100,9364000
Italy,ITA,60421760,59729081,59438851,59109668
Jamaica,JAM,2811835,2813773,2820436,2827695
Jordan,JOR,10459865,10698683,10928721,11148278
Japan,JPN,126811000,126633000,126261000,125681593
Kazakhstan,KAZ,18276452,18513673,18755666,19000988
Kenya,KEN,49953304,50951450,51985780,53005614
Kyrgyz Republic,KGZ,6322800,6456200,6579900,6691800
Cambodia,KHM,16025238,16207746,16396860,16589023
Kiribati,KIR,122261,124241,126463,128874
St. Kitts and Nevis,KNA,47761,47712,47642,47606
"Korea, Rep.",KOR,51585058,51764822,51836239,51744876
Kuwait,KWT,4317185,4441100,4360444,4250114
Latin America & Caribbean (excluding high income),LAC,577406030,583500375,588808380,593308001
Lao PDR,LAO,7105006,7212053,7319399,7425057
Lebanon,LBN,5950839,5781907,5662923,5592631
Liberia,LBR,4889391,4985289,5087584,5193416
Libya,LBY,6477793,6569088,6653942,6735277
St. Lucia,LCA,177888,178583,179237,179651
Latin America & Caribbean,LCN,639628226,645295804,650534967,654981699
Least developed countries: UN classification,LDC,1023493788,1048193552,1073743450,1099568566
Low income,LIC,661256583,680013468,699186538,718255072
Liechtenstein,LIE,38181,38482,38756,39039
Sri Lanka,LKA,21670000,21803000,21919000,22156000
Lower middle income,LMC,3270214763,3313903477,3357118135,3398187527
Low & middle income,LMY,6401272453,6477841008,6551590116,6619578961
Lesotho,LSO,2198017,2225702,2254100,2281454
Late-demographic dividend,LTE,2298987320,2309491520,2317277311,2321862159
Lithuania,LTU,2801543,2794137,2794885,2800839
Luxembourg,LUX,607950,620001,630419,640064
Latvia,LVA,1927174,1913822,1900449,1884490
"Macao SAR, China",MAC,650991,663653,676283,686607
St. Martin (French part),MAF,33852,33121,32553,31948
Morocco,MAR,35927511,36304408,36688772,37076584
Monaco,MCO,37029,37034,36922,36686
Moldova,MDA,2707203,2664224,2635130,2615199
Madagascar,MDG,26846541,27533134,28225177,28915653
Maldives,MDV,489758,504508,514438,521457
Middle East & North Africa,MEA,465073490,473201775,479966649,486167363
Mexico,MEX,124013861,125085311,125998302,126705138
Marshall Islands,MHL,45989,44728,43413,42050
Middle income,MIC,5740015870,5797827540,5852403578,5901323889
North Macedonia,MKD,2076217,2076694,2072531,2065092
Mali,MLI,19934298,20567424,21224040,21904983
Malta,MLT,484630,504062,515332,518536
Myanmar,MMR,52666014,53040212,53423198,53798084
Middle East & North Africa (excluding high income),MNA,398375344,405259403,411810124,418047201
Montenegro,MNE,622227,622028,621306,619211
Mongolia,MNG,3163991,3232430,3294335,3347782
Northern Mariana Islands,MNP,50304,49858,49587,49481
Mozambique,MOZ,29423878,30285595,31178239,32077072
Mauritania,MRT,4270712,4383849,4498604,4614974
Mauritius,MUS,1265303,1265711,1265740,1266060
Malawi,MWI,18367883,18867337,19377061,19889742
Malaysia,MYS,32399271,32804020,33199993,33573874
North America,NAC,363967201,365995094,369602177,370203720
Namibia,NAM,2405680,2446644,2489098,2530151
New Caledonia,NCL,271170,271230,271130,271030
Niger,NER,22577058,23443393,24333639,25252722
Nigeria,NGA,198387623,203304492,208327405,213401323
Nicaragua,NIC,6572233,6663924,6755895,6850540
Netherlands,NLD,17231624,17344874,17441500,17533044
Norway,NOR,5311916,5347896,5379475,5408320
Nepal,NPL,28506712,28832496,29348627,30034989
Nauru,NRU,11924,12132,12315,12511
New Zealand,NZL,4900600,4979200,5090200,5122600
OECD members,OED,1356241793,1362922537,1370241530,1372736513
Oman,OMN,4601157,4602768,4543399,4520471
Other small states,OSS,31494217,32005203,32381190,32708003
Pakistan,PAK,219731479,223293280,227196741,231402117
Panama,PAN,4165255,4232532,4294396,4351267
Peru,PER,32203944,32824861,33304756,33715471
Philippines,PHL,108568836,110380804,112190977,113880328
Palau,PLW,17864,17916,17972,18024
Papua New Guinea,PNG,9329227,9542486,9749640,9949437
Poland,POL,37974750,37965475,37899070,37747124
Pre-demographic dividend,PRE,931467165,957503246,984213438,1011043183
Puerto Rico,PRI,3193354,3193694,3281538,3263584
"Korea, Dem. People's Rep.",PRK,25638149,25755441,25867467,25971909
Portugal,PRT,10283822,10286263,10297081,10325147
Paraguay,PRY,6443328,6530026,6618695,6703799
West Bank and Gaza,PSE,4569087,4685306,4803269,4922749
Pacific island small states,PSS,2510226,2536070,2566819,2602173
Post-demographic dividend,PST,1110126741,1113310738,1117443485,1116796245
French Polynesia,PYF,297606,299717,301920,304032
Qatar,QAT,2766732,2807235,2760385,2688235
Romania,ROU,19473970,19371648,19265250,19119880
Russian Federation,RUS,144477859,144406261,144073139,143449286
Rwanda,RWA,12531808,12835028,13146362,13461888
South Asia,SAS,1840534093,1861598514,1882531620,1901911604
Saudi Arabia,SAU,35018133,35827362,35997107,35950396
Sudan,SDN,41999059,43232093,44440486,45657202
Senegal,SEN,15574909,16000781,16436120,16876720
Singapore,SGP,5638676,5703569,5685807,5453566
Solomon Islands,SLB,659249,674993,691191,707851
Sierra Leone,SLE,7861281,8046828,8233970,8420641
El Salvador,SLV,6276342,6280217,6292731,6314167
San Marino,SMR,34156,34178,34007,33745
Somalia,SOM,15411094,15981300,16537016,17065581
Serbia,SRB,6982604,6945235,6899126,6834326
Sub-Saharan Africa (excluding high income),SSA,1092306937,1121451150,1151203345,1181063481
South Sudan,SSD,10395329,10447666,10606227,10748272
Sub-Saharan Africa,SSF,1092403699,1121548775,1151301807,1181162739
Small states,SST,41379093,41965375,42392777,42792053
Sao Tome and Principe,STP,211344,214599,218641,223107
Suriname,SUR,593715,600301,607065,612985
Slovak Republic,SVK,5446771,5454147,5458827,5447247
Slovenia,SVN,2073894,2088385,2102419,2108079
Sweden,SWE,10175214,10278887,10353442,10415811
Eswatini,SWZ,1160428,1169613,1180655,1192271
Sint Maarten (Dutch part),SXM,40895,41608,42310,42846
Seychelles,SYC,96762,97625,98462,99258
Syrian Arab Republic,SYR,19333463,20098251,20772595,21324367
Turks and Caicos Islands,TCA,41487,43080,44276,45114
Chad,TCD,15604210,16126866,16644701,17179740
East Asia & Pacific (IDA & IBRD countries),TEA,2068898629,2080648616,2090523535,2097669023
Europe & Central Asia (IDA & IBRD countries),TEC,459613334,460994696,462023771,462341222
Togo,TGO,8046679,8243094,8442580,8644829
Thailand,THA,71127802,71307763,71475664,71601103
Tajikistan,TJK,9128132,9337003,9543207,9750064
Turkmenistan,TKM,6065066,6158420,6250438,6341855
Latin America & the Caribbean (IDA & IBRD countries),TLA,623841282,629515571,634680385,639188695
Timor-Leste,TLS,1261845,1280438,1299995,1320942
Middle East & North Africa (IDA & IBRD countries),TMN,393806257,400574097,407006855,413124452
Tonga,TON,105150,104951,105254,106017
South Asia (IDA & IBRD),TSA,1840534093,1861598514,1882531620,1901911604
Sub-Saharan Africa (IDA & IBRD countries),TSS,1092403699,1121548775,1151301807,1181162739
Trinidad and Tobago,TTO,1504709,1519955,1518147,1525663
Tunisia,TUN,11933041,12049314,12161723,12262946
Turkiye,TUR,82809304,83481684,84135428,84775404
Tuvalu,TUV,10865,10956,11069,11204
Tanzania,TZA,58090443,59872579,61704518,63588334
Uganda,UGA,41515395,42949080,44404611,45853778
Ukraine,UKR,44622518,44386203,44132049,43792855
Upper middle income,UMC,2469801107,2483924063,2495285443,2503136362
Uruguay,URY,3427042,3428409,3429086,3426260
United States,USA,326838199,328329953,331501080,331893745
Uzbekistan,UZB,32956100,33580350,34232050,34915100
St. Vincent and the Grenadines,VCT,105281,104924,104632,104332
"Venezuela, RB",VEN,29825653,28971683,28490453,28199867
British Virgin Islands,VGB,30335,30610,30910,31122
Virgin Islands (U.S.),VIR,107001,106669,106290,105870
Vietnam,VNM,94914330,95776716,96648685,97468029
Vanuatu,VUT,297298,304404,311685,319137
World,WLD,7661776338,7742681934,7820981524,7888408686
Samoa,WSM,209701,211905,214929,218764
Kosovo,XKX,1797085,1788878,1790133,1786038
"Yemen, Rep.",YEM,30790513,31546691,32284046,32981641
South Africa,ZAF,57339635,58087055,58801927,59392255
Zambia,ZMB,17835893,18380477,18927715,19473125
Zimbabwe,ZWE,15052184,15354608,15669666,15993524
